,0
0,586.2903226
1,586.2903226
2,586.2903226
3,586.2903226
4,586.2903226
5,586.2903226
6,586.2903226
7,586.2903226
8,586.2903226
9,586.2903226
10,586.2903226
11,583.8709677
12,583.8709677
13,581.4516129
14,583.8709677
15,583.8709677
16,581.4516129
17,581.4516129
18,581.4516129
19,581.4516129
20,581.4516129
21,581.4516129
22,581.4516129
23,581.4516129
24,581.4516129
25,581.4516129
26,581.4516129
27,581.4516129
28,581.4516129
29,581.4516129
30,581.4516129
31,581.4516129
32,579.0322581
33,579.0322581
34,579.0322581
35,579.0322581
36,579.0322581
37,581.4516129
38,579.0322581
39,579.0322581
40,576.6129032
41,571.7741935
42,566.9354839
43,566.9354839
44,559.6774194
45,557.2580645
46,550
47,550
48,554.8387097
49,559.6774194
50,559.6774194
51,562.0967742
52,562.0967742
53,562.0967742
54,564.516129
55,564.516129
56,564.516129
57,564.516129
58,562.0967742
59,559.6774194
60,557.2580645
61,557.2580645
62,554.8387097
63,554.8387097
64,554.8387097
65,554.8387097
66,554.8387097
67,554.8387097
68,554.8387097
69,554.8387097
70,554.8387097
71,554.8387097
72,554.8387097
73,554.8387097
74,554.8387097
75,554.8387097
76,554.8387097
77,557.2580645
78,557.2580645
79,557.2580645
80,554.8387097
81,554.8387097
82,552.4193548
83,550
84,550
85,547.5806452
86,547.5806452
87,545.1612903
88,542.7419355
89,540.3225806
90,540.3225806
91,535.483871
92,528.2258065
93,528.2258065
94,528.2258065
95,523.3870968
96,520.9677419
97,518.5483871
98,518.5483871
99,518.5483871
100,518.5483871
101,516.1290323
102,516.1290323
103,516.1290323
104,516.1290323
105,518.5483871
106,518.5483871
107,520.9677419
108,520.9677419
109,520.9677419
110,520.9677419
111,518.5483871
112,513.7096774
113,511.2903226
114,508.8709677
115,506.4516129
116,504.0322581
117,499.1935484
118,496.7741935
119,496.7741935
120,494.3548387
121,494.3548387
122,491.9354839
123,491.9354839
124,491.9354839
125,484.6774194
126,482.2580645
127,484.6774194
128,482.2580645
129,484.6774194
130,484.6774194
131,482.2580645
132,482.2580645
133,482.2580645
134,479.8387097
135,479.8387097
136,477.4193548
137,477.4193548
138,475
139,475
140,475
141,475
142,472.5806452
143,472.5806452
144,472.5806452
145,470.1612903
146,470.1612903
147,470.1612903
148,470.1612903
149,467.7419355
150,467.7419355
151,465.3225806
152,465.3225806
153,462.9032258
154,460.483871
155,460.483871
156,460.483871
157,458.0645161
158,455.6451613
159,453.2258065
160,450.8064516
161,450.8064516
162,448.3870968
163,445.9677419
164,441.1290323
165,438.7096774
166,438.7096774
167,438.7096774
168,438.7096774
169,441.1290323
170,445.9677419
171,445.9677419
172,448.3870968
173,448.3870968
174,450.8064516
175,455.6451613
176,458.0645161
177,458.0645161
178,460.483871
179,465.3225806
180,467.7419355
181,470.1612903
182,470.1612903
183,470.1612903
184,470.1612903
185,470.1612903
186,470.1612903
187,470.1612903
188,470.1612903
189,470.1612903
190,470.1612903
191,470.1612903
192,470.1612903
193,470.1612903
194,470.1612903
195,467.7419355
196,467.7419355
197,470.1612903
198,470.1612903
199,467.7419355
200,467.7419355
201,467.7419355
202,465.3225806
203,465.3225806
204,465.3225806
205,465.3225806
206,465.3225806
207,465.3225806
208,465.3225806
209,462.9032258
210,462.9032258
211,462.9032258
212,460.483871
213,460.483871
214,458.0645161
215,458.0645161
216,455.6451613
217,455.6451613
218,455.6451613
219,455.6451613
220,453.2258065
221,453.2258065
222,453.2258065
223,453.2258065
224,450.8064516
225,450.8064516
226,450.8064516
227,450.8064516
228,450.8064516
229,445.9677419
230,448.3870968
231,443.5483871
232,445.9677419
233,443.5483871
234,448.3870968
235,450.8064516
236,450.8064516
237,450.8064516
238,450.8064516
239,450.8064516
240,450.8064516
241,450.8064516
242,450.8064516
243,450.8064516
244,453.2258065
245,455.6451613
246,458.0645161
247,458.0645161
248,458.0645161
249,460.483871
250,460.483871
251,460.483871
252,462.9032258
253,462.9032258
254,465.3225806
255,465.3225806
256,465.3225806
257,465.3225806
258,467.7419355
259,467.7419355
260,467.7419355
261,467.7419355
262,470.1612903
263,470.1612903
264,472.5806452
265,475
266,475
267,477.4193548
268,477.4193548
269,482.2580645
270,484.6774194
271,487.0967742
272,489.516129
273,489.516129
274,489.516129
275,489.516129
276,489.516129
277,491.9354839
278,494.3548387
279,496.7741935
280,499.1935484
281,499.1935484
282,499.1935484
283,499.1935484
284,501.6129032
285,501.6129032
286,501.6129032
287,501.6129032
288,501.6129032
289,501.6129032
290,501.6129032
291,501.6129032
292,504.0322581
293,504.0322581
294,504.0322581
295,504.0322581
296,506.4516129
297,506.4516129
298,506.4516129
299,506.4516129
300,506.4516129
301,506.4516129
302,506.4516129
303,506.4516129
304,506.4516129
305,506.4516129
306,506.4516129
307,506.4516129
308,506.4516129
309,508.8709677
310,508.8709677
311,508.8709677
312,508.8709677
313,511.2903226
314,511.2903226
315,513.7096774
316,513.7096774
317,513.7096774
318,513.7096774
319,513.7096774
320,516.1290323
321,516.1290323
322,516.1290323
323,518.5483871
324,518.5483871
325,518.5483871
326,520.9677419
327,520.9677419
328,520.9677419
329,523.3870968
330,523.3870968
331,523.3870968
332,523.3870968
333,523.3870968
334,523.3870968
335,523.3870968
336,525.8064516
337,525.8064516
338,528.2258065
339,528.2258065
340,528.2258065
341,528.2258065
342,528.2258065
343,530.6451613
344,533.0645161
345,535.483871
346,535.483871
347,535.483871
348,533.0645161
349,535.483871
350,537.9032258
351,540.3225806
352,540.3225806
353,540.3225806
354,540.3225806
355,540.3225806
356,540.3225806
357,540.3225806
358,540.3225806
359,540.3225806
360,542.7419355
361,542.7419355
362,542.7419355
363,542.7419355
364,542.7419355
365,542.7419355
366,542.7419355
367,545.1612903
368,545.1612903
369,547.5806452
370,547.5806452
371,550
372,552.4193548
373,552.4193548
374,554.8387097
375,554.8387097
376,552.4193548
377,552.4193548
378,552.4193548
379,552.4193548
380,552.4193548
381,552.4193548
382,552.4193548
383,557.2580645
384,559.6774194
385,559.6774194
386,559.6774194
387,562.0967742
388,562.0967742
389,564.516129
390,566.9354839
391,566.9354839
392,566.9354839
393,566.9354839
394,566.9354839
395,566.9354839
396,566.9354839
397,569.3548387
398,571.7741935
399,571.7741935
400,574.1935484
401,574.1935484
402,576.6129032
403,576.6129032
404,576.6129032
405,579.0322581
406,579.0322581
407,579.0322581
408,581.4516129
409,581.4516129
410,583.8709677
411,583.8709677
412,586.2903226
413,586.2903226
414,586.2903226
415,586.2903226
